Year,Final_Grade,Subjects_Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time_Allocation_Question_1,Time_Allocation_Question_2,Time_Allocation_Question_3,Reading_and_Note_Taking_Question_1,Reading_and_Note_Taking_Question_2,Reading_and_Note_Taking_Question_3,Study_Period_Procedures_Question_1,Study_Period_Procedures_Question_2,Study_Period_Procedures_Question_3,Written_Works_Question_1,Written_Works_Question_2,Written_Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3,Status
4,3.0,2,3.0,2.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,3.0,0
4,2.0,0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,1
2,2.23,0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1
2,2.58,1,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,0
4,2.4,0,1.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,1
3,2.21,0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,3.0,3.0,1
3,1.75,0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,1
2,2.03,0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,2.0,1
3,2.64,1,4.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,4.0,4.0,4.0,0
2,2.35,0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,1
4,1.7,0,2.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,1
3,3.07,1,3.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,0
1,3.98,2,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,0
4,2.0,0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1
4,2.45,1,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,0
1,3.43,1,3.0,4.0,2.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,0
1,3.18,1,3.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,0
3,1.68,0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,1.0,1
4,2.3,0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1
2,2.79,1,3.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,0
1,2.12,0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,1
2,2.15,0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,4.0,1
3,1.93,0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,4.0,1
3,2.68,1,1.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,1.0,1.0,0
2,2.65,1,2.0,4.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,0
4,2.0,0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,1
4,2.3,0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,1
1,2.32,0,3.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,1
1,3.39,2,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,0
4,2.4,0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,1
3,2.71,0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,1
1,2.09,0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,3.0,1
3,1.96,0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,1
4,3.15,2,2.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,3.0,4.0,0
2,2.27,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1
4,2.75,0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1
1,2.02,0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,1
3,2.43,0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,1
3,2.43,1,2.0,4.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,0
4,2.55,1,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,0
2,2.62,1,1.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0,0
4,2.7,0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,1
3,1.61,0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1
1,2.64,0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,1
2,2.6,1,3.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,3.0,4.0,4.0,1.0,2.0,0
4,2.2,0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,1
2,3.14,2,2.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0
3,2.29,0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,1
2,2.96,0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,1.0,1
4,1.7,0,4.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1
3,2.18,0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,1
1,2.7,2,2.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,0
2,2.37,0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,1
4,2.55,1,3.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,0
1,2.54,1,2.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,0
4,2.15,0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0,1
1,1.8,0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,1
1,2.57,0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,1.0,1
4,2.7,0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0,1
1,2.77,1,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,0
4,2.85,0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,1
2,2.0,0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,1
1,3.0,0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1
4,2.1,0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1
1,3.43,1,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,0
3,2.82,1,2.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,0
1,2.05,1,4.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,0
4,1.45,0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1
3,2.14,0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,1
3,2.86,2,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,0
1,1.79,0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1
1,2.34,0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1
4,2.95,1,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0
4,2.8,1,4.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,0
3,2.25,0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,1
3,2.64,1,1.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,0
1,2.07,0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,1
3,2.57,1,4.0,3.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,0
1,2.7,1,2.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,0
3,2.21,0,3.0,4.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1
2,2.5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,0
4,1.25,0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,1
1,2.8,0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,1
4,2.1,0,2.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,1
3,3.25,3,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,0
1,1.88,0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,1
2,2.7,1,1.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,1.0,0
3,3.14,2,1.0,4.0,1.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,0
4,2.25,0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,1
3,1.82,0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,1
2,2.52,2,4.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,0
4,2.6,0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,1.0,2.0,1.0,1
2,2.36,1,4.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,0
1,2.93,1,4.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,0
3,2.82,2,4.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,3.0,0
4,2.25,0,2.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,1
1,2.55,0,1.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,2.0,1
2,2.7,0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1
1,2.36,0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,1
2,2.59,1,4.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,0
3,2.46,1,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,0
2,1.97,1,3.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,1.0,3.0,4.0,4.0,0
4,2.7,1,3.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,0
1,1.64,0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,2.0,1
1,2.18,1,2.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,0
1,3.2,0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1
1,3.54,1,1.0,1.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,0
3,2.25,0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,1
2,2.13,1,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,0
4,2.7,1,3.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,0
2,3.33,4,4.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,3.0,4.0,0
1,2.57,0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,1
4,2.55,1,1.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,0
4,3.2,1,2.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,0
4,1.45,0,3.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1
3,2.43,1,1.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,0
2,2.45,0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,1
4,2.4,0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,1
1,2.73,1,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,1.0,0
2,3.01,2,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,0
1,1.91,0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,1
3,1.89,0,2.0,4.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1
3,2.18,0,2.0,3.0,3.0,4.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,1
3,2.36,0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,4.0,1.0,1
3,2.89,1,2.0,4.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,0
2,2.67,1,2.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,0
4,2.6,0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1
3,2.36,1,4.0,3.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,4.0,3.0,1.0,0
1,1.77,0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1
2,2.37,1,4.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,4.0,1.0,0
4,2.45,0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,2.0,1
3,2.14,1,3.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0,0
3,1.86,0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,1
1,4.36,4,2.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,0
4,2.05,0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,1
1,3.57,2,3.0,2.0,4.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,3.0,0
2,2.2,0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1
