Year,Final_Grade,Subjects_Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time_Allocation_Question_1,Time_Allocation_Question_2,Time_Allocation_Question_3,Reading_and_Note_Taking_Question_1,Reading_and_Note_Taking_Question_2,Reading_and_Note_Taking_Question_3,Study_Period_Procedures_Question_1,Study_Period_Procedures_Question_2,Study_Period_Procedures_Question_3,Written_Works_Question_1,Written_Works_Question_2,Written_Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
3,2.82,1,2.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0
2,2.24,1,1.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,3.0
3,2.82,2,4.0,2.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0
2,2.23,0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0
1,2.79,1,2.0,3.0,4.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0
4,2.7,0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,3.0,4.0,1.0
3,2.75,1,,,,,,,,,,,,,,,,,,
4,1.75,0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0
3,3.0,1,2.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0
4,2.2,0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,4.0
2,2.53,0,2.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0
3,2.39,0,,,,,,,,,,,,,,,,,,
4,1.95,0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0
3,2.36,0,,,,,,,,,,,,,,,,,,
2,2.0,0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0
3,2.68,2,3.0,2.0,3.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0
2,2.28,0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,3.0
1,2.82,1,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,4.0
1,2.34,1,,,,,,,,,,,,,,,,,,
1,2.0,0,3.0,4.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0
2,2.47,1,,,,,,,,,,,,,,,,,,
1,4.36,4,2.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0
2,2.13,1,1.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0
3,2.61,1,3.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0
1,2.48,1,2.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0
4,2.55,1,1.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,2.0
4,2.7,1,2.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0
3,2.25,0,2.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,4.0,3.0,3.0
4,2.3,0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0
4,1.75,0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0
1,2.07,0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0
4,1.85,0,,,,,,,,,,,,,,,,,,
2,2.5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0
4,1.8,0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0
4,1.7,0,4.0,1.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0
4,2.3,0,3.0,1.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
3,2.18,0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,4.0
2,2.2,0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0
3,1.61,0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0
4,2.0,0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0
3,3.07,1,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0
3,2.36,1,4.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0
2,2.36,1,4.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0
1,2.3,0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0
2,2.39,1,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0
3,1.86,0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0
3,3.07,1,3.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,2.0,3.0,4.0
2,2.89,1,4.0,1.0,1.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0
4,2.15,0,3.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,4.0
4,2.45,1,,,,,,,,,,,,,,,,,,
4,3.15,1,1.0,3.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0
1,2.5,0,,,,,,,,,,,,,,,,,,
2,2.03,0,4.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,2.0
2,2.62,1,1.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,1.0
2,2.7,0,2.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0
1,3.98,2,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0
4,3.05,1,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0
4,2.7,0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0
3,2.64,1,,,,,,,,,,,,,,,,,,
3,2.82,1,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,4.0
4,1.6,0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0
2,2.67,1,4.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0
4,3.05,0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0
4,1.5,0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0
4,2.4,0,1.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0
2,2.71,0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0
3,2.14,0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0
4,2.85,0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,3.0
1,2.59,0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0
3,2.29,0,3.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0
4,2.05,0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,3.0,4.0
4,2.3,1,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0
2,2.27,0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0
3,2.68,0,,,,,,,,,,,,,,,,,,
3,2.43,0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,3.0,3.0,2.0,3.0
4,1.7,0,4.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0
1,2.11,0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,4.0
2,2.47,1,1.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0
